cell_id	ck	wus	cx	cy
1	0.0	58.7	5.566311597404345	5.694964867242625
2	0.0	58.5	-5.949662385747219	6.026523153751325
3	0.0	55.3	16.84822771959244	4.157283894074072
4	0.0	55.1	-17.38136935695525	4.708415206251366
5	0.0	50.2	27.494111257440903	1.3784363779602298
6	0.0	49.7	-28.384566387660065	2.5793579285046166
7	0.0	44.6	37.7880178713331	-1.9189939034092272
8	0.0	44.1	-38.761307848999834	-0.6661830325271713
9	0.0	39.9	46.64457191415384	-6.3153310608701645
10	0.0	39.6	-47.37807530464886	-4.469150618596418
11	0.0	68.1	0.08775932344217455	-2.92947142595245
12	0.0	64.9	10.763830770295241	-3.9768409305476937
13	0.0	64.7	-11.250360532523759	-3.6609093291088453
14	0.0	57.9	21.3835944506078	-6.3643999734735175
15	0.0	57.2	-22.439260430887444	-5.166714395130319
16	0.0	50.3	32.01483386271709	-9.273092034700754
17	0.0	49.7	-33.23233507792155	-7.98467094262441
18	0.0	43.5	42.055625103889625	-13.00876793286479
19	0.0	42.9	-43.366781443575	-11.007055143370245
20	84.5	76.3	4.866427322195856	-12.934551324275946
21	83.7	75.9	-5.563188339203176	-12.353663572123352
22	78.3	66.2	14.74316918849945	-14.25006291601393
23	76.6	65.2	-16.53644742594137	-13.249068715355612
24	69.3	56.4	25.499310342889082	-16.780763626098633
25	67.4	55.3	-27.397387163979666	-15.368658351898194
26	60.0	48.0	36.054650653492324	-19.515417767809584
27	58.5	47.2	-37.74717861453429	-17.797455762395796
28	97.9	94.2	-0.6324646204197104	-21.300271835880004
29	91.2	85.8	9.287845755652558	-22.599448965607788
30	89.5	85.5	-11.096312545594715	-21.662550919720914
31	78.9	75.4	19.567365179390745	-24.667648144426018
32	76.6	74.4	-22.09422276544233	-23.401153023361314
33	67.2	66.4	29.985931870121284	-26.86097535510991
34	65.9	65.9	-31.87297773664924	-25.347335681793798
35	101.6	82.4	3.8539570746322473	-30.8331694539388
36	98.6	81.7	-6.819307926413301	-30.601259615514184
37	85.8	75.4	14.076488481345752	-32.636052665981
38	84.1	75.0	-16.928626454671225	-31.725085881551106
39	72.8	67.7	24.08916161391909	-34.38057036747206
40	71.8	67.6	-26.37501394148353	-32.9305558787833
41	90.1	73.5	-2.467817644459476	-40.11847754700543
42	85.9	71.7	7.444870170158676	-41.11745885052258
43	83.5	70.9	-12.169710659980774	-40.357491683959964
44	75.1	66.7	18.32527584499783	-41.92574215558619
45	73.9	66.5	-21.51450018574008	-40.53230952530456
46	76.9	65.2	-1.0007422665754955	-50.12120986830258
47	74.4	64.0	7.848448302647839	-50.74854236759552
48	75.3	64.6	-9.397119414197267	-49.61744127482393
49	69.9	62.0	16.64261658310045	-50.07623629198007
50	70.4	62.6	-18.231266569322155	-48.842136013892386
